כותר,שם משפחה מחבר,שם פרטי מחבר,שנת פרסום,"מו""ל",מקום פרסום,מספר מערכת בקורפוס,מספר מילים,ראשית,סוג מסמך,קטגוריה,קורפוס
אגרגטים ממוחזרים כתחליפים לאגרגטים דקים בייצור בטון,קוליש,דניאל,2016,המכון הלאומי לחקר הבנייה,חיפה,1200000,16678,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
אופטימיזציית הפסד-עלות מרובת מטרות לשדרוג סיסמי של מבנים באמצעות מרסנים ויסקוזיים,לבן,אורן,2019,המכון הלאומי לחקר הבנייה,חיפה,1200001,8532,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
אופטימיזצית התכן של בטונים בעלי עבידות משופרת (בטון מצטופף מעצמו - SCC) לשיפור קיים ותפקוד ארוך טווח,וסרמן,רינה,2008,המכון הלאומי לחקר הבנייה,חיפה,1200002,9603,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
אורך דיפוזיה של ראדון בחומרי איטום,קובלר,קונסטנטין,2012,המכון הלאומי לחקר הבנייה,חיפה,1200003,329,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
איתור הזדמנות לשילוב ואינטגרציה של ציוד  כלים,רוזנפלד,יחיאל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200004,630,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
אנאליזה וחישוב של התפקוד התרמי והאנרגטי של גשרים תרמיים ופתרונותיהם בבנייה עם שלד מבטון,בקר,רות,2014,המכון הלאומי לחקר הבנייה,חיפה,1200005,22727,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
אסטרטגיה למינוף תכנית תכנן ובנה לקידום תיעוש הבניה ואיכות החיים בישראל,רוזנפלד,יחיאל,2021,המכון הלאומי לחקר הבנייה,חיפה,1200006,35884,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
בדיקה ניסויית של אמצעי שידרוג מחבר עמוד קורה התנהגות של חללים תת קרקעיים רדודים מדופנים בעמיסה דינמית – שלב ג',אנטיס,מרק,2007,המכון הלאומי לחקר הבנייה,חיפה,1200007,143,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
בחינה מחדש של קריטריוני התכן ואופן החישוב של שקיעות בקורות ותקרות מבטון מזוין,דנציגר,אברהם,2017,המכון הלאומי לחקר הבנייה,חיפה,1200008,15434,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
בחינה של דרישות התקנים לתכולה מינימלית של צמנט להבטחת קיים של בטון מזוין,וסרמן,רינה,2007,המכון הלאומי לחקר הבנייה,חיפה,1200009,383,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
בחינת ההשפעה של מנהל פרויקט מטעם היזם על התוצאות של פרויקטי בנייה,רוזנפלד,יחיאל,2019,המכון הלאומי לחקר הבנייה,חיפה,1200010,24920,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
בחינת השפעת איכות האבן על תכונות בטון,כץ,אמנון,2021,המכון הלאומי לחקר הבנייה,חיפה,1200011,561,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
בחינת תרומה של ספיני קירות בני לצמצום הסכנה להתמוטטות בשרשרת של בנייני קומות הכוללים שלד מסגרתי מבטון מזויין שלב א',שוורץ, סטפן,2014,המכון הלאומי לחקר הבנייה,חיפה,1200012,514,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
בטון בעל משיכות משופרת המכיל תוצרי מחזור צמיגי ליישום במעקות בטיחות לכבישים,ורסמן,רינה,2012,המכון הלאומי לחקר הבנייה,חיפה,1200013,281,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
בטון בעל תכונות מעולות (HPC) שילוב אגרגט גס וסוגי סיבים שונים והשפעתם על תכונות הבטון הקשוי והטרי,אגרנטי,גלית,2018,המכון הלאומי לחקר הבנייה,חיפה,1200014,619,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"בטונים בעלי חוזק גבוה שלב א', חלק ב', תכונות בטונים מאגרגטים מקומיים",כץ,אמנון,2007,המכון הלאומי לחקר הבנייה,חיפה,1200015,563,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
בלייה של בטון מזויין בתנאי גשם חומצי וקרינת UV בישראל,בנטור,אמנון,2009,המכון הלאומי לחקר הבנייה,חיפה,1200016,6988,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
בעיות גז ראדון – 222 בנייה למגורים,קובלר,קונסטנטין,2002,המכון הלאומי לחקר הבנייה,חיפה,1200017,435,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"גורמים טכנולוגיים המשפיעים על חוזק החיבור של חיפוי חוץ קשיח, שלב ב'",ורסמן,רינה,2012,המכון הלאומי לחקר הבנייה,חיפה,1200018,16749,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
גישה ישירה לתכן סייסמי מבוסס הזזות של בניינים בהתחשב בצורות תנודה רבות,לבן,אורן,2013,המכון הלאומי לחקר הבנייה,חיפה,1200019,7814,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
גישה משולבת להארכת מחזור החיים של מבנים מבטון מזוין,קובלר,קונסטנטין,2021,המכון הלאומי לחקר הבנייה,חיפה,1200020,5711,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
הגורמים המשפיעים על בחירת טפסות וציוד עיקרי אחר בהקמת בניינים רבי קומות,שפירא,אביעד,2013,המכון הלאומי לחקר הבנייה,חיפה,1200021,790,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
ההתנהגות המכנית של לוחות זכוכית,ינקלבסקי,דוד,2017,המכון הלאומי לחקר הבנייה,חיפה,1200022,4266,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
"היבטים כלכליים הנדסיים של צמצום הנזק לתשתית הבנייה ברעידות אדמה, שלב א'",שוורץ, סטפן,2014,המכון הלאומי לחקר הבנייה,חיפה,1200023,377,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
היבטים של קורוזיה במבני בטון מזויין והשפעתם על בטיחות המבנים (שלב ב'),ול,דמיטרי,2006,המכון הלאומי לחקר הבנייה,חיפה,1200024,515,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"הכנת תרחישי נזק ריאליים ונתונים לקבלת החלטות באירועי רעידת אדמה חזקה, שלב א' – חלק 1",ינקלבסקי,דוד,2009,המכון הלאומי לחקר הבנייה,חיפה,1200025,922,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
הכשרת עובדים לבטיחות בבנייה באמצעות מציאות מדומה,זקס,רפאל,2012,המכון הלאומי לחקר הבנייה,חיפה,1200026,558,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
הנצלה של שארית צמנט פעיל בפסולת בנייה לשימוש נוסף בבטון חדש,קוליש,דניאל,2022,המכון הלאומי לחקר הבנייה,חיפה,1200027,21523,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
הערכה משולבת של תגובות אתר וסיכוני התנזלות בזמן רעידות אדמה בעמק זבולון,פרידמן,סם,2013,המכון הלאומי לחקר הבנייה,חיפה,1200028,373,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
הערכת הכדאיות הכלכלית של שילוב טכנולוגיות מקדמות בתכן סיסמי של מבנים חדשים באמצעות אופטימיזציה,לבן,אורן,2021,המכון הלאומי לחקר הבנייה,חיפה,1200029,7927,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
הערכת הנזק שנגרם לאלמנטי מבנה מגורים טיפוסי מפיצוץ פנימי – שלב א',ינקלבסקי,דוד,2009,המכון הלאומי לחקר הבנייה,חיפה,1200030,345,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
הערכת נזקי רעידות אדמה לבניינים באמצעות מודל בניין ממוחשב וסריקות לייזר,זקס,רפאל,2014,המכון הלאומי לחקר הבנייה,חיפה,1200031,746,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
הפחתת משקל של תקרות דרוכות באמצעות תכן אופטימלי של מיקומי העמודים ופריסת כבלי הדריכה,זליקמן,יעקב,2022,המכון הלאומי לחקר הבנייה,חיפה,1200032,16847,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
השפעה של תכולת דקים על תערובת בטון,באום,הדסה,2006,המכון הלאומי לחקר הבנייה,חיפה,1200033,1008,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
השפעת גלי הלם הנוצרים בפיצוץ פנימי בתוך מנהרת תשתית על פני קרקע ועל מנהרות סמוכות,פלדגון,ולדימיר,2013,המכון הלאומי לחקר הבנייה,חיפה,1200034,151,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
השפעת גלי צונאמי על בניינים ומתקנים,קרינסקי,יורי,2014,המכון הלאומי לחקר הבנייה,חיפה,1200035,290,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
השפעת האשפרה על בלייה של בטון עם אפר פחם בתנאי גשם חומצי וקרינת UV בישראל,וסרמן,רינה,2012,המכון הלאומי לחקר הבנייה,חיפה,1200036,5329,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
השפעת העיסה הצמנטית הישנה על תכונות בטון מאגרגט ממוחזר,מנדלבוים,ליעד,2019,המכון הלאומי לחקר הבנייה,חיפה,1200037,540,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
השפעת מנהור על תשתיות קבורות בסביבה עירונית,קלר,אסף,2019,המכון הלאומי לחקר הבנייה,חיפה,1200038,204,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
השפעת תכולת דקים בחול על תכונות מלטים לטיח,באום,הדסה,2008,המכון הלאומי לחקר הבנייה,חיפה,1200039,1240,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
התנגדות של מישקי טיט בקירות בלוק בטון הנתונים לעמיסה של כוחות אופקיים - שלב א',יאגוסט,ולדימיר,2010,המכון הלאומי לחקר הבנייה,חיפה,1200040,9706,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
התנהגות סטטית בכפיפה של קורות מבטון עם מנת זיון נמוכה ועם סיבי פלדה,דנציגר,אברהם,2013,המכון הלאומי לחקר הבנייה,חיפה,1200041,5994,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
התנהגות סיסמית של מנהרה מדופנת והשפעתה על פני קרקע,פלדגון,ולדימיר,2014,המכון הלאומי לחקר הבנייה,חיפה,1200042,424,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
התנהגות סיסמית של מנהרת תשתית,ינקלבסקי,דוד,2016,המכון הלאומי לחקר הבנייה,חיפה,1200043,4230,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
התנהגות קירות גזירה מבטון מזוין - שלב א',אבוטבול,א,2008,המכון הלאומי לחקר הבנייה,חיפה,1200044,21809,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
התנהגות של חללים תת-קרקעיים רדודים מדופנים בעמיסה דינמית,אנטיס,מרק,2007,המכון הלאומי לחקר הבנייה,חיפה,1200045,494,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"התנהגות של חללים תת-קרקעיים רדודים מדופנים בעמיסה דינמית, שלב ב'",אנטיס,מרק,2007,המכון הלאומי לחקר הבנייה,חיפה,1200046,197,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"התנהגות של חללים תת-קרקעיים רדודים מדופנים בעמיסה דינמית, שלב ד'",אנטיס,מרק,2010,המכון הלאומי לחקר הבנייה,חיפה,1200047,193,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
התנהגות של מנהרה מדופנת בעמיסה סייסמית,אנטיס,מרק,2012,המכון הלאומי לחקר הבנייה,חיפה,1200048,176,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"התנהגות של מנהרה מדופנת בעמיסה סייסמית, שלב ג'",אנטיס,מרק,2012,המכון הלאומי לחקר הבנייה,חיפה,1200049,267,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"התנהגות של מנהרה תת קרקעית בהשפעת פיצוץ,  שלב ב'",פלדגון,ולדימיר,2009,המכון הלאומי לחקר הבנייה,חיפה,1200050,213,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"התנזלות, קשיחות וריסון בחול ישראלי ברעידת אדמה",טלסניק,מרק,2009,המכון הלאומי לחקר הבנייה,חיפה,1200051,17380,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
זיהוי וניתוח של גורמים שורשיים לליקויי בנייה בביצוע של פרוייקטי מגורים,רוזנפלד,יחיאל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200052,637,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
זיהוי נזקים במסגרות מרחביות תוך התבססות על מדידות דינמיות גלובאליות,גולדפלד,יסכה,2009,המכון הלאומי לחקר הבנייה,חיפה,1200053,326,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
זרימת מידע תהליכי באתר והשפעתה על זרימת העבודה של צוותי ביצוע,זקס,רפאל,2016,המכון הלאומי לחקר הבנייה,חיפה,1200054,15448,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
חיזוי אמין של לחצי תפיחה ותפיחה חופשית בקרקע חרסיתית בקנה מידה המתאים לשדה,טלסניק,מרק,2022,המכון הלאומי לחקר הבנייה,חיפה,1200055,3591,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
חיזוי עומס המגע על מבנה טמון – המשך המחקר הניסויי,טלסניק,מרק,2006,המכון הלאומי לחקר הבנייה,חיפה,1200057,611,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
חקירת מכניזם ההתנהגות של קירות מקרקע משוריינת,טלסניק,מרק,2018,המכון הלאומי לחקר הבנייה,חיפה,1200058,446,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
חקירת תגובת הקרקע להעמסה מחזורית באמצעות מדידה ישירה של מאמץ גזירה בתוך הקרקע,עומר,איתמר,2022,המכון הלאומי לחקר הבנייה,חיפה,1200059,4063,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
חקירת תגובת קרקעות לעומס סטטי ומחזורי באמצעות חיישני מאמץ ועיבור,דולב,נעה,2021,המכון הלאומי לחקר הבנייה,חיפה,1200060,16704,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
חקירת תכונות צמנט רב מרכיבי,כץ,אמנון,2007,המכון הלאומי לחקר הבנייה,חיפה,1200061,800,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"טכנולוגיות לניהול ובקרת חומרים, כ""א וצמ""ה בפרוייקטי בנייה",נבון,רוני,2005,המכון הלאומי לחקר הבנייה,חיפה,1200062,743,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
יישום מתקדם של שיטות Lean Construction בהקמת בנייני מגורים,זקס,רפאל,2019,המכון הלאומי לחקר הבנייה,חיפה,1200063,1498,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
כימות התכונות המכניות – מבניות של קירות דֶבֶּש לצורך הערכת עמידותם הסיסמית,ג'בר,גאלי,2019,המכון הלאומי לחקר הבנייה,חיפה,1200064,17999,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
כשל חומרים צמנטיים לאחר יישומם באתר הבנייה בתנאים רטובים,ז'וטובסקי,סמיון,2014,המכון הלאומי לחקר הבנייה,חיפה,1200065,147,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
לקראת תקן ישראלי לניהול פרויקטי בניה - נייר עמדה,רוזנפלד,יחיאל,?,המכון הלאומי לחקר הבנייה,חיפה,1200066,2079,Born digital,נייר עמדה,המכון הלאומי לחקר הבנייה,IIA
מדיניות לאומית בתחום הבינוי ,בנטור,אמנון,?,המכון הלאומי לחקר הבנייה,חיפה,1200067,6549,Born digital,"דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
מודל אינטגרטיבי ליישום הפוטנציאל הקיים של האבן הטבעית בישראל בבנייה ידידותית לסביבה,זינגרמן,ס,2008,המכון הלאומי לחקר הבנייה,חיפה,1200068,294,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
מחזור פסולת בטון לצרכי ייצור קלינקר של צמנט פורטלנד,ז'וטובסקי,סמיון,2020,המכון הלאומי לחקר הבנייה,חיפה,1200069,166,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"מחזור פסולת בטון לצרכי ייצור קלינקר של צמנט פורטלנד, שלב ב'",ז'וטובסקי,סמיון,2021,המכון הלאומי לחקר הבנייה,חיפה,1200070,5254,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
מחיצות קלות בבנייני מגורים - חיזוי חיי השירות ועלויות מחזור החיים במטרה לקבוע את תרומתן בתהליכי תיעוש הבנייה,שוחט,"י""מ",2005,המכון הלאומי לחקר הבנייה,חיפה,1200071,734,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
מידול התקדמות הכשל במבני בטון תחת נגיפה במהירויות גבוהות,וולך,קונסטנטין,2009,המכון הלאומי לחקר הבנייה,חיפה,1200072,225,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
מידול של התפשטות כשל מבני בטון מזויין עקב אימפקט במהירות גבוהה,וולך,קונסטנטין,2010,המכון הלאומי לחקר הבנייה,חיפה,1200073,219,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
מכניזם ההידבקות והעיגון של מוט זיון בבטון עם אגרגטים ממוחזרים מבטון מפסולת בנייה,ינקלבסקי,דוד,2021,המכון הלאומי לחקר הבנייה,חיפה,1200074,18265,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
מנגנוני כשל קילוף במערכות אריחים מודבקים,פלדפוגל,שי,2020,המכון הלאומי לחקר הבנייה,חיפה,1200075,17113,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
מרכיב כוח האדם בטכנולוגיות בנייה שונות,רוזנפלד,יחיאל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200076,799,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"ניתוח התנהגות של חללים תת קרקעיים מדופנים ברעידות אדמה, שלב ה'",קרינסקי,יורי,2005,המכון הלאומי לחקר הבנייה,חיפה,1200077,264,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
ננו- ומיקרו מתקנים לניטור מבני תחבורה ופיתוח בטונים חכמים ואינטראקטיביים,קובלר,קונסטנטין,2007,המכון הלאומי לחקר הבנייה,חיפה,1200078,375,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
סקר לאומי על רדיואקטיביות טבעית בבטון (2012 – 2014),קובלר,קונסטנטין,2014,המכון הלאומי לחקר הבנייה,חיפה,1200079,320,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"סקר על ראדון אקטיבית טבעית בבטון, שלב א'",קובלר,קונסטנטין,2012,המכון הלאומי לחקר הבנייה,חיפה,1200080,274,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"סקר על רדיואקטיביות טבעית בבטון, שלב ב'",שפירא,אביעד,2013,המכון הלאומי לחקר הבנייה,חיפה,1200081,790,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"עדכון הנחיות לתכן מבנים מבטון מזוין בת""י 413 (תכן עמידות מבנים ברעידות אדמה) לקראת העברתם לת""י 466 – חוקת הבטון",פיזנטי,אברהם,2009,המכון הלאומי לחקר הבנייה,חיפה,1200082,832,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"עומסים תרמיים בגשרים, שלב א': גשרי טבלה וגשרי קורות מבטון",בקר,רחל,2008,המכון הלאומי לחקר הבנייה,חיפה,1200083,278,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"עומסים תרמיים בגשרים, שלב ב': גשרי ארגז וגשרי קורות תעלה",בקר,רחל,2010,המכון הלאומי לחקר הבנייה,חיפה,1200084,339,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
עמידות בעומסים אופקיים של מסגרות בטון מזוין הכוללים מילוי של ספיני קירות בני,שוורץ,סטפן,2011,המכון הלאומי לחקר הבנייה,חיפה,1200085,27676,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
עמידות משופרת בעומס אימפקט של קירות מגן דו-שכבתיים מבטון,בנאמו,דויד,2012,המכון הלאומי לחקר הבנייה,חיפה,1200086,5953,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
פוטנציאל לשיפור הפיריון בבניה באמצעות תיעוש לפי עקרונות LEAN,זקס,רפאל,2008,המכון הלאומי לחקר הבנייה,חיפה,1200087,1826,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
פיתוח אלמנטים נבונים מצמנט מגנזיום פוספט (פוסמנט) משוריין בטקסטיל בעלי יכולות מבניות ויכולת חישה מתקדמות,גולדפלד,יסכה,2022,המכון הלאומי לחקר הבנייה,חיפה,1200088,13871,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
פיתוח אריחי חיפוי למעטפת בניין המבוססים על גאומטריות מורכבות,גרובמן,יעקב (יאשה),2018,המכון הלאומי לחקר הבנייה,חיפה,1200089,634,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
פיתוח בטונים בעלי משיכות גבוהה להתנהגות דינמית משופרת,ירדימצ'י,מרט,2009,המכון הלאומי לחקר הבנייה,חיפה,1200090,5522,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
פיתוח בסיס נתונים ליישום עקרונות ובנייה מודעי אנרגיה בבנייני חינוך,בקר ,רחל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200091,306,Born digital,,המכון הלאומי לחקר הבנייה,IIA
פיתוח והקמה של מערכת ניסוי לבדיקת תיפקוד של קירות חוץ  - בדיקת חדירת אויר ומים דרך מישקים יבשים בבנייה,בקר,רחל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200092,294,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"פיתוח חומרים צמנטיים ידידותיים לסביבה על ידי מחזור פסולות תעשייתיות, שלב א'",סבח,אדם,2022,המכון הלאומי לחקר הבנייה,חיפה,1200093,252,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"פיתוח מדדים כמותיים להערכת הסיכון הבטיחותי באתרי עם עגרוני צריח, שלב ג': פיתוח סקלות סיכון, אינטגרציה, ויישום המודל",שפירא,אביעד,2009,המכון הלאומי לחקר הבנייה,חיפה,1200094,758,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
פיתוח מודל מבני-חשמלי לקורות בטון משוריינות בטקסטיל נבון,גולדפלד,יסכה,2019,המכון הלאומי לחקר הבנייה,חיפה,1200095,14818,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
פיתוח מערכת חדשנית לבקרת ציוד בפרויקטי סלילת כבישים,נבון,רוני,2007,המכון הלאומי לחקר הבנייה,חיפה,1200096,842,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
פיתוח מערכת תשתית תת קרקעית נבונה באמצעות שילוב טכנולוגיות חדשות של מטריצת מגנזיום פוספט (פוסמנט) ושריון מארג אגדי סיבי פחמן,גולדפלד,יסכה,2022,המכון הלאומי לחקר הבנייה,חיפה,1200097,390,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
פיתוח שיטה לא הרסנית למעקב אחר האשפרה של גשרים מבטון,ורסמן,רינה,2010,המכון הלאומי לחקר הבנייה,חיפה,1200098,404,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
פיתוח תהליך סיסטתי ומודל פרקטי לבחירת ציוד בפרוייקטי בנייה,שפירא,אביעד,2005,המכון הלאומי לחקר הבנייה,חיפה,1200099,412,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
קביעת פרמטרים לתכנון כלונסאות בישראל על בסיס תוצאות ניסויי העמסה,קורייאת,יוסף,2021,המכון הלאומי לחקר הבנייה,חיפה,1200100,19199,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
קירות בני מחוזקים לכפיפה חד כיוונית מחוץ למישור באמצעות חומרים מרוכבים – צורת כשל,רבינוביץ',עודד,2007,המכון הלאומי לחקר הבנייה,חיפה,1200101,711,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
קירות קרקע משוריינת - הכללת אספקטים מתקדמים לתכן רציונלי,נורמנד,איתן,2010,המכון הלאומי לחקר הבנייה,חיפה,1200102,1316,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
קר-חם: מודל חישובי פשוט להערכה כוללת של צריכת האנרגיה בבניינים מאוקלמים,חסיד,שמואל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200103,297,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
קריטריונים לאיכות כיסוי הבטון ושיטות בדיקה,ורסמן,רינה,2007,המכון הלאומי לחקר הבנייה,חיפה,1200104,226,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
קריטריונים לקביעת יעילות של אשפרת משטחי בטון בחומרי אשפרה מותזים בתנאי אקלים חם ויבש,ורסמן,רינה,2010,המכון הלאומי לחקר הבנייה,חיפה,1200105,4127,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
קרינת גמא בבנייני מגורים בישראל,קובלר,קונסטנטין,2011,המכון הלאומי לחקר הבנייה,חיפה,1200106,13691,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
רגישות לסדיקה של בטונים,קובלר,קונסטנטין,2007,המכון הלאומי לחקר הבנייה,חיפה,1200107,324,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
רגישות לסדיקה של בטונים שלב ב',קובלר,קונסטנטין,2010,המכון הלאומי לחקר הבנייה,חיפה,1200108,6216,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
שדרוג הגנה של מבנה טמון להשפעת פיצוץ קרוב באמצעות מערכת מכשולים היקפית,פלדגון,ולדימיר,2009,המכון הלאומי לחקר הבנייה,חיפה,1200109,248,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שדרוג מיטבי של מבנים לעמיסה סייסמית לרמת תפקוד רצויה באמצעות בקרה פסיבית,לוי,רוברט,2009,המכון הלאומי לחקר הבנייה,חיפה,1200110,605,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"שדרוג סייסמי של בנייני קומות קיימים בעלי שלד בטון מזויין באמצעות רכיבי פלדה מעוגנים, שלב' ב': בדיקה ניסויית של אמצעי שידרוג מחבר עמוד-קורה",שוורץ,סטפן,2009,המכון הלאומי לחקר הבנייה,חיפה,1200111,1159,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
