id,text,expanded,span,upos,xpos,feats,head,deprel,lemma
24,-,,"(69, 70)",PUNCT,PUNCT,,25.0,punct,-
25,בעל,,"(71, 74)",NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,21.0,dep,בעל
26,קרקע,,"(75, 79)",NOUN,NOUN,Gender=Fem|Number=Sing,25.0,compound:smixut,קרקע
27,או,,"(80, 82)",CCONJ,CCONJ,,28.0,cc,או
28,בנין,,"(83, 87)",NOUN,NOUN,Gender=Masc|Number=Sing,26.0,conj,בניין
29,",",,"(87, 88)",PUNCT,PUNCT,,25.0,punct,","
30,או,,"(89, 91)",CCONJ,CCONJ,,31.0,cc,או
31,בעל,,"(92, 95)",NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,25.0,conj,בעל
32,זכות,,"(96, 100)",NOUN,NOUN,Gender=Fem|Number=Sing,31.0,compound:smixut,זכות
"(33, 34)",בהם,"[{'id': 33, 'text': 'ב_', 'upos': 'ADP', 'xpos': 'ADP', 'head': 34, 'deprel': 'case', 'lemma': 'ב'}, {'id': 34, 'text': '_הם', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Gender=Masc|Number=Plur|Person=3|PronType=Prs', 'head': 32, 'deprel': 'nmod', 'lemma': 'הוא'}]","(101, 104)",,,,,,
35,",",,"(104, 105)",PUNCT,PUNCT,,31.0,punct,","
"(36, 37)",שהועדה,"[{'id': 36, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 38, 'deprel': 'mark', 'lemma': 'ש'}, {'id': 37, 'text': 'הועדה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 38, 'deprel': 'nsubj', 'lemma': 'הועדה'}]","(106, 112)",,,,,,
38,הביאה,,"(113, 118)",VERB,VERB,Gender=Fem|HebBinyan=HIFIL|Number=Sing|Person=3|Tense=Past|Voice=Act,56.0,acl:relcl,הביא
"(39, 42)",לידיעתו,"[{'id': 39, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 40, 'deprel': 'case', 'lemma': 'ל'}, {'id': 40, 'text': 'ידיעה_', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Def|Gender=Fem|Number=Sing', 'head': 38, 'deprel': 'obl', 'lemma': 'ידיעה'}, {'id': 41, 'text': '_של_', 'upos': 'ADP', 'xpos': 'ADP', 'head': 42, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 42, 'text': '_הוא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Masc|Number=Sing|Person=3|PronType=Prs', 'head': 40, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]","(119, 126)",,,,,,
43,את,,"(127, 129)",ADP,ADP,Case=Acc,45.0,case:acc,את
"(44, 45)",הדרישה,"[{'id': 44, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 45, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 45, 'text': 'דרישה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 38, 'deprel': 'obj', 'lemma': 'דרישה'}]","(130, 136)",,,,,,
"(46, 47)",להוראת,"[{'id': 46, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 47, 'deprel': 'case', 'lemma': 'ל'}, {'id': 47, 'text': 'הוראת', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Fem|Number=Sing', 'head': 45, 'deprel': 'nmod', 'lemma': 'הוראה'}]","(137, 143)",,,,,,
48,שינוי,,"(144, 149)",NOUN,NOUN,Gender=Masc|Number=Sing,47.0,compound:smixut,שינוי
49,;,,"(149, 150)",PUNCT,PUNCT,,56.0,cc,;
50,"""",,"(151, 152)",PUNCT,PUNCT,,52.0,punct,""""
"(51, 52)",הועדה,"[{'id': 51, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 52, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 52, 'text': 'ועדה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 6, 'deprel': 'conj', 'lemma': 'ועדה'}]","(152, 157)",,,,,,
53,"""",,"(157, 158)",PUNCT,PUNCT,,52.0,punct,""""
54,-,,"(159, 160)",PUNCT,PUNCT,,52.0,punct,-
"(55, 56)",הועדה,"[{'id': 55, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 56, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 56, 'text': 'ועדה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 6, 'deprel': 'conj', 'lemma': 'ועדה'}]","(161, 166)",,,,,,
"(57, 58)",למיתקנים,"[{'id': 57, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 58, 'deprel': 'case', 'lemma': 'ל'}, {'id': 58, 'text': 'מיתקנים', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Plur', 'head': 56, 'deprel': 'nmod', 'lemma': 'מתקן'}]","(167, 175)",,,,,,
59,בטחוניים,,"(176, 184)",ADJ,ADJ,Gender=Masc|Number=Plur,58.0,amod,בטחוני
60,",",,"(184, 185)",PUNCT,PUNCT,,56.0,punct,","
"(61, 64)",כמשמעותה,"[{'id': 61, 'text': 'כ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 62, 'deprel': 'case', 'lemma': 'כ'}, {'id': 62, 'text': 'משמעות_', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Def|Gender=Fem|Number=Sing', 'head': 56, 'deprel': 'nmod', 'lemma': 'משמעות'}, {'id': 63, 'text': '_של_', 'upos': 'ADP', 'xpos': 'ADP', 'head': 64, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 64, 'text': '_היא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Fem|Number=Sing|Person=3|PronType=Prs', 'head': 62, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]","(186, 194)",,,,,,
"(65, 66)",בסעיף,"[{'id': 65, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 66, 'deprel': 'case', 'lemma': 'ב'}, {'id': 66, 'text': 'סעיף', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 62, 'deprel': 'nmod', 'lemma': 'סעיף'}]","(195, 200)",,,,,,
67,160,,"(201, 204)",NUM,NUM,,66.0,nummod,160
"(68, 69)",לחוק,"[{'id': 68, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 69, 'deprel': 'case', 'lemma': 'ל'}, {'id': 69, 'text': 'חוק', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 66, 'deprel': 'nmod', 'lemma': 'חוק'}]","(205, 209)",,,,,,
1,הגשת,,"(1, 5)",NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,0.0,root,הגשה
2,התנגדות,,"(6, 13)",NOUN,NOUN,Gender=Fem|Number=Sing,1.0,compound:smixut,התנגדות
3,2,,"(14, 15)",NUM,NUM,,1.0,nummod,2
1,(,,"(1, 2)",PUNCT,PUNCT,,2.0,punct,(
2,א,,"(2, 3)",PROPN,PROPN,,39.0,nsubj,א
3,),,"(3, 4)",PUNCT,PUNCT,,2.0,punct,)
4,התנגדות,,"(5, 12)",NOUN,NOUN,Gender=Fem|Number=Sing,39.0,nsubj,התנגדות
"(5, 6)",להוראת,"[{'id': 5, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 6, 'deprel': 'case', 'lemma': 'ל'}, {'id': 6, 'text': 'הוראת', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Fem|Number=Sing', 'head': 4, 'deprel': 'nmod', 'lemma': 'הוראה'}]","(13, 19)",,,,,,
7,שינוי,,"(20, 25)",NOUN,NOUN,Gender=Masc|Number=Sing,6.0,compound:smixut,שינוי
"(8, 9)",שמגיש,"[{'id': 8, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 9, 'deprel': 'mark', 'lemma': 'ש'}, {'id': 9, 'text': 'מגיש', 'upos': 'VERB', 'xpos': 'VERB', 'feats': 'Gender=Masc|HebBinyan=HIFIL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Act', 'head': 6, 'deprel': 'acl:relcl', 'lemma': 'הגיש'}]","(26, 31)",,,,,,
10,זכאי,,"(32, 36)",AUX,AUX,"Gender=Masc|Number=Sing|Person=1,2,3|VerbType=Mod",11.0,aux,זכאי
11,להתנגד,,"(37, 43)",VERB,VERB,HebBinyan=HITPAEL|VerbForm=Inf,9.0,xcomp,התנגד
"(12, 13)",לועדה,"[{'id': 12, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 13, 'deprel': 'case', 'lemma': 'ל'}, {'id': 13, 'text': 'ועדה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 11, 'deprel': 'obl', 'lemma': 'ועדה'}]","(44, 49)",,,,,,
14,",",,"(49, 50)",PUNCT,PUNCT,,11.0,punct,","
15,לפי,,"(51, 54)",ADP,ADP,,16.0,case,לפי
16,סעיף,,"(55, 59)",NOUN,NOUN,Gender=Masc|Number=Sing,11.0,obl,סעיף
17,175,,"(60, 63)",NUM,NUM,,16.0,nummod,175
18,(,,"(63, 64)",PUNCT,PUNCT,,19.0,punct,(
19,ה,,"(64, 65)",DET,DET,PronType=Art,16.0,appos,ה
20,),,"(65, 66)",PUNCT,PUNCT,,19.0,punct,)
"(21, 22)",לחוק,"[{'id': 21, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 22, 'deprel': 'case', 'lemma': 'ל'}, {'id': 22, 'text': 'חוק', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 16, 'deprel': 'nmod', 'lemma': 'חוק'}]","(67, 71)",,,,,,
23,",",,"(71, 72)",PUNCT,PUNCT,,16.0,punct,","
24,תוך,,"(73, 76)",ADP,ADP,,26.0,case,תוך
25,עשרה,,"(77, 81)",NUM,NUM,Gender=Masc|Number=Sing,26.0,nummod,עשרה
26,ימים,,"(82, 86)",NOUN,NOUN,Gender=Masc|Number=Plur,6.0,nmod,יום
"(27, 28)",מיום,"[{'id': 27, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 28, 'deprel': 'case', 'lemma': 'מ'}, {'id': 28, 'text': 'יום', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Masc|Number=Sing', 'head': 26, 'deprel': 'nmod', 'lemma': 'יום'}]","(87, 91)",,,,,,
"(29, 30)",שהוראת,"[{'id': 29, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 33, 'deprel': 'mark', 'lemma': 'ש'}, {'id': 30, 'text': 'הוראת', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Fem|Number=Sing', 'head': 33, 'deprel': 'nsubj', 'lemma': 'הוראה'}]","(92, 98)",,,,,,
"(31, 32)",השינוי,"[{'id': 31, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 32, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 32, 'text': 'שינוי', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 30, 'deprel': 'compound:smixut', 'lemma': 'שינוי'}]","(99, 105)",,,,,,
33,הגיעה,,"(106, 111)",VERB,VERB,Gender=Fem|HebBinyan=HIFIL|Number=Sing|Person=3|Tense=Past|Voice=Act,28.0,acl:relcl,הגיע
"(34, 37)",לידיעתו,"[{'id': 34, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 35, 'deprel': 'case', 'lemma': 'ל'}, {'id': 35, 'text': 'ידיעה_', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Def|Gender=Fem|Number=Sing', 'head': 33, 'deprel': 'obl', 'lemma': 'ידיעה'}, {'id': 36, 'text': '_של_', 'upos': 'ADP', 'xpos': 'ADP', 'head': 37, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 37, 'text': '_הוא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Masc|Number=Sing|Person=3|PronType=Prs', 'head': 35, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]","(112, 119)",,,,,,
38,",",,"(119, 120)",PUNCT,PUNCT,,39.0,punct,","
39,תישלח,,"(121, 126)",VERB,VERB,Gender=Fem|HebBinyan=NIFAL|Number=Sing|Person=3|Tense=Fut|Voice=Mid,0.0,root,נשלח
40,על,,"(127, 129)",ADP,ADP,,42.0,case,על
41,פי,,"(130, 132)",NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,40.0,fixed,פה
42,מען,,"(133, 136)",NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,39.0,obl,מען
"(43, 44)",הועדה,"[{'id': 43, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 44, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 44, 'text': 'ועדה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 42, 'deprel': 'compound:smixut', 'lemma': 'ועדה'}]","(137, 142)",,,,,,
"(45, 46)",שצויין,"[{'id': 45, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 46, 'deprel': 'mark', 'lemma': 'ש'}, {'id': 46, 'text': 'צויין', 'upos': 'VERB', 'xpos': 'VERB', 'feats': 'Gender=Masc|HebBinyan=PUAL|Number=Sing|Person=3|Tense=Past|Voice=Pass', 'head': 42, 'deprel': 'acl:relcl', 'lemma': 'צוין'}]","(143, 149)",,,,,,
"(47, 49)",בהודעה,"[{'id': 47, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 49, 'deprel': 'case', 'lemma': 'ב'}, {'id': 48, 'text': 'ה_', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 49, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 49, 'text': 'הודעה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 46, 'deprel': 'obl', 'lemma': 'הודעה'}]","(150, 156)",,,,,,
"(50, 51)",שקיבל,"[{'id': 50, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 51, 'deprel': 'mark', 'lemma': 'ש'}, {'id': 51, 'text': 'קיבל', 'upos': 'VERB', 'xpos': 'VERB', 'feats': 'Gender=Masc|HebBinyan=PIEL|Number=Sing|Person=3|Tense=Past|Voice=Act', 'head': 49, 'deprel': 'acl:relcl', 'lemma': 'קיבל'}]","(157, 162)",,,,,,
1,ח',,"(1, 3)",NUM,NUM,,11.0,dep,ח'
2,בסיון,,"(4, 9)",PROPN,PROPN,HebSource=ConvUncertainHead,1.0,flat:name,בסיון
3,"תשנ""ב",,"(10, 15)",PROPN,PROPN,Abbr=Yes,1.0,nmod,"תשנ""ב"
4,(,,"(16, 17)",PUNCT,PUNCT,,5.0,punct,(
5,9,,"(17, 18)",NUM,NUM,,11.0,parataxis,9
"(6, 7)",ביוני,"[{'id': 6, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 7, 'deprel': 'case', 'lemma': 'ב'}, {'id': 7, 'text': 'יוני', 'upos': 'PROPN', 'xpos': 'PROPN', 'head': 5, 'deprel': 'obl', 'lemma': 'יוני'}]","(19, 24)",,,,,,
8,1992,,"(25, 29)",NUM,NUM,,7.0,nummod,1992
9,),,"(29, 30)",PUNCT,PUNCT,,5.0,punct,)
10,אני,,"(31, 34)",PRON,PRON,"Gender=Fem,Masc|Number=Sing|Person=1|PronType=Prs",11.0,nsubj,הוא
11,מסכים,,"(35, 40)",VERB,VERB,"Gender=Masc|HebBinyan=HIFIL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Act",0.0,root,הסכים
1,משה אר,,"(1, 7)",PROPN,PROPN,,2.0,dep,משה אר
2,נס,,"(7, 9)",NOUN,NOUN,,15.0,dep,נס
"(3, 4)",שר הבטח,"[{'id': 3, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 4, 'deprel': 'mark', 'lemma': 'ש'}, {'id': 4, 'text': 'רצהבטח', 'upos': 'NOUN', 'xpos': 'NOUN', 'head': 2, 'deprel': 'dep', 'lemma': 'רצהבטח'}]","(10, 17)",,,,,,
"(5, 6)",ון,"[{'id': 5, 'text': 'ו', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 15, 'deprel': 'dep', 'lemma': 'ו'}, {'id': 6, 'text': 'ן', 'upos': 'ADV', 'xpos': 'ADV', 'head': 4, 'deprel': 'advmod', 'lemma': 'ן'}]","(17, 19)",,,,,,
7,א,,"(20, 21)",PROPN,PROPN,Polarity=Neg,15.0,dep,א
"(8, 10)",ריה,"[{'id': 8, 'text': 'רה_', 'upos': 'NOUN', 'xpos': 'NOUN', 'head': 15, 'deprel': 'dep', 'lemma': 'רה'}, {'id': 9, 'text': '_של_', 'upos': 'ADV', 'xpos': 'ADV', 'head': 15, 'deprel': 'dep', 'lemma': 'של'}, {'id': 10, 'text': '_היא', 'upos': 'NOUN', 'xpos': 'NOUN', 'head': 15, 'deprel': 'advmod', 'lemma': 'הוא'}]","(21, 24)",,,,,,
"(11, 13)",דרעי,"[{'id': 11, 'text': 'דרע_', 'upos': 'NOUN', 'xpos': 'NOUN', 'head': 15, 'deprel': 'dep', 'lemma': 'דרע'}, {'id': 12, 'text': '_של_', 'upos': 'ADV', 'xpos': 'ADV', 'head': 2, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 13, 'text': '_אני', 'upos': 'PRON', 'xpos': 'PRON', 'head': 2, 'deprel': 'dep', 'lemma': 'הוא'}]","(25, 29)",,,,,,
"(14, 15)",שר הפנים,"[{'id': 14, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 15, 'deprel': 'dep', 'lemma': 'ש'}, {'id': 15, 'text': 'רטהפנים', 'upos': 'NOUN', 'xpos': 'NOUN', 'head': 0, 'deprel': 'root', 'lemma': 'רטהפן'}]","(30, 38)",,,,,,
